Year,Month,Vehicle Type,Time Period (AM/PM),Area Type,Functional Classification,Speed
2019,Jan,Passenger,AM,Urban,1,54.5
2019,Jan,Passenger,AM,Urban,2,49.6
2019,Jan,Passenger,AM,Urban,3,27.5
2019,Jan,Passenger,AM,Urban,4,24.9
2019,Jan,Passenger,AM,Urban,5,19.8
2019,Jan,Passenger,AM,Urban,6,21.3
2019,Jan,Passenger,AM,Urban,7,22
2019,Jan,Passenger,AM,Rural,1,66.7
2019,Jan,Passenger,AM,Rural,2,61.7
2019,Jan,Passenger,AM,Rural,3,52.1
2019,Jan,Passenger,AM,Rural,4,48.1
2019,Jan,Passenger,AM,Rural,5,45.2
2019,Jan,Passenger,AM,Rural,6,32
2019,Jan,Passenger,AM,Rural,7,31.6
2019,Jan,Passenger,PM,Urban,1,54
2019,Jan,Passenger,PM,Urban,2,49.2
2019,Jan,Passenger,PM,Urban,3,25.7
2019,Jan,Passenger,PM,Urban,4,23.3
2019,Jan,Passenger,PM,Urban,5,19.5
2019,Jan,Passenger,PM,Urban,6,20.9
2019,Jan,Passenger,PM,Urban,7,19.8
2019,Jan,Passenger,PM,Rural,1,68
2019,Jan,Passenger,PM,Rural,2,62.9
2019,Jan,Passenger,PM,Rural,3,53.5
2019,Jan,Passenger,PM,Rural,4,48.1
2019,Jan,Passenger,PM,Rural,5,45.5
2019,Jan,Passenger,PM,Rural,6,29
2019,Jan,Passenger,PM,Rural,7,30.8
2019,Feb,Passenger,AM,Urban,1,52.6
2019,Feb,Passenger,AM,Urban,2,48
2019,Feb,Passenger,AM,Urban,3,26.8
2019,Feb,Passenger,AM,Urban,4,24.7
2019,Feb,Passenger,AM,Urban,5,19.7
2019,Feb,Passenger,AM,Urban,6,22.9
2019,Feb,Passenger,AM,Urban,7,22.9
2019,Feb,Passenger,AM,Rural,1,66.4
2019,Feb,Passenger,AM,Rural,2,61.2
2019,Feb,Passenger,AM,Rural,3,51.7
2019,Feb,Passenger,AM,Rural,4,47.8
2019,Feb,Passenger,AM,Rural,5,45.1
2019,Feb,Passenger,AM,Rural,6,13
2019,Feb,Passenger,AM,Rural,7,23.7
2019,Feb,Passenger,PM,Urban,1,52.1
2019,Feb,Passenger,PM,Urban,2,47.8
2019,Feb,Passenger,PM,Urban,3,25.1
2019,Feb,Passenger,PM,Urban,4,22.9
2019,Feb,Passenger,PM,Urban,5,19.1
2019,Feb,Passenger,PM,Urban,6,21
2019,Feb,Passenger,PM,Urban,7,19.8
2019,Feb,Passenger,PM,Rural,1,67.7
2019,Feb,Passenger,PM,Rural,2,62.5
2019,Feb,Passenger,PM,Rural,3,53
2019,Feb,Passenger,PM,Rural,4,47.7
2019,Feb,Passenger,PM,Rural,5,47
2019,Feb,Passenger,PM,Rural,6,25
2019,Feb,Passenger,PM,Rural,7,24.7
2019,Mar,Passenger,AM,Urban,1,54.3
2019,Mar,Passenger,AM,Urban,2,49.3
2019,Mar,Passenger,AM,Urban,3,27.3
2019,Mar,Passenger,AM,Urban,4,24.7
2019,Mar,Passenger,AM,Urban,5,20
2019,Mar,Passenger,AM,Urban,6,21.2
2019,Mar,Passenger,AM,Urban,7,23.5
2019,Mar,Passenger,AM,Rural,1,67.6
2019,Mar,Passenger,AM,Rural,2,62.7
2019,Mar,Passenger,AM,Rural,3,52.7
2019,Mar,Passenger,AM,Rural,4,47.2
2019,Mar,Passenger,AM,Rural,5,44.6
2019,Mar,Passenger,AM,Rural,6,19
2019,Mar,Passenger,AM,Rural,7,25.9
2019,Mar,Passenger,PM,Urban,1,51.5
2019,Mar,Passenger,PM,Urban,2,47.6
2019,Mar,Passenger,PM,Urban,3,25
2019,Mar,Passenger,PM,Urban,4,22.7
2019,Mar,Passenger,PM,Urban,5,19.2
2019,Mar,Passenger,PM,Urban,6,20.6
2019,Mar,Passenger,PM,Urban,7,18.6
2019,Mar,Passenger,PM,Rural,1,68.2
2019,Mar,Passenger,PM,Rural,2,63
2019,Mar,Passenger,PM,Rural,3,53.4
2019,Mar,Passenger,PM,Rural,4,47.6
2019,Mar,Passenger,PM,Rural,5,46.3
2019,Mar,Passenger,PM,Rural,6,18
2019,Mar,Passenger,PM,Rural,7,31.9
2019,Apr,Passenger,AM,Urban,1,53.9
2019,Apr,Passenger,AM,Urban,2,48.9
2019,Apr,Passenger,AM,Urban,3,27.1
2019,Apr,Passenger,AM,Urban,4,24.9
2019,Apr,Passenger,AM,Urban,5,19.6
2019,Apr,Passenger,AM,Urban,6,22.7
2019,Apr,Passenger,AM,Urban,7,22.9
2019,Apr,Passenger,AM,Rural,1,67.8
2019,Apr,Passenger,AM,Rural,2,62.5
2019,Apr,Passenger,AM,Rural,3,52.7
2019,Apr,Passenger,AM,Rural,4,47.9
2019,Apr,Passenger,AM,Rural,5,43.8
2019,Apr,Passenger,AM,Rural,6,42.9
2019,Apr,Passenger,AM,Rural,7,31.2
2019,Apr,Passenger,PM,Urban,1,51
2019,Apr,Passenger,PM,Urban,2,47.1
2019,Apr,Passenger,PM,Urban,3,24.9
2019,Apr,Passenger,PM,Urban,4,22.7
2019,Apr,Passenger,PM,Urban,5,19.1
2019,Apr,Passenger,PM,Urban,6,20.1
2019,Apr,Passenger,PM,Urban,7,19.4
2019,Apr,Passenger,PM,Rural,1,67.6
2019,Apr,Passenger,PM,Rural,2,62.8
2019,Apr,Passenger,PM,Rural,3,53.2
2019,Apr,Passenger,PM,Rural,4,47.2
2019,Apr,Passenger,PM,Rural,5,44.6
2019,Apr,Passenger,PM,Rural,6,45
2019,Apr,Passenger,PM,Rural,7,26.4
